,frame,time,stress_cell_nearest_pair_distance,stress_cell_nearest_pair_anisotropy
364,27,81,0.0,0.0
365,27,81,0.0,0.0
366,27,81,0.0,0.0
367,27,81,0.0,0.0
368,27,81,0.0,0.0
369,27,81,5.0951353230239045,1.0523506372422382
370,27,81,4.963300456458812,0.9415181205530356
371,27,81,0.0,0.0
372,27,81,0.0,0.0
373,27,81,0.0,0.0
374,27,81,5.646573118066475,0.4901220844352342
375,27,81,5.493206638154015,0.7701822001425696
376,27,81,0.0,0.0
377,27,81,9.3523965529311,0.7631077361791966
378,27,81,0.0,0.0
379,27,81,0.0,0.0
380,30,90,0.0,0.0
381,30,90,0.0,0.0
382,30,90,0.0,0.0
383,30,90,0.0,0.0
384,30,90,3.8675783840214604,0.20846588725127665
385,30,90,0.0,0.0
386,30,90,0.0,0.0
387,30,90,5.221520647019867,1.1432043082072076
388,30,90,0.0,0.0
389,30,90,0.0,0.0
390,30,90,0.0,0.0
391,30,90,5.067330257675121,0.8786786635668608
392,30,90,0.0,0.0
393,30,90,5.250987627933381,0.9936964372284027
394,30,90,0.0,0.0
395,30,90,0.0,0.0
396,30,90,0.0,0.0
397,30,90,0.0,0.0
398,30,90,0.0,0.0
399,30,90,5.067330257675121,0.8786786635668608
400,30,90,4.877754609904329,0.7073725040609227
401,30,90,5.250987627933381,0.9936964372284027
402,30,90,0.0,0.0
403,30,90,0.0,0.0
404,30,90,0.0,0.0
405,30,90,0.0,0.0
406,30,90,0.0,0.0
407,30,90,0.0,0.0
408,30,90,4.877754609904329,0.7073725040609227
409,30,90,0.0,0.0
410,30,90,3.8675783840214604,0.20846588725127665
411,30,90,0.0,0.0
412,30,90,0.0,0.0
413,30,90,5.496880130607041,0.8368693524183867
414,30,90,0.0,0.0
415,30,90,9.398735847496605,0.6280275004918017
416,30,90,0.0,0.0
417,30,90,0.0,0.0
418,33,99,0.0,0.0
419,33,99,0.0,0.0
420,33,99,0.0,0.0
421,33,99,0.0,0.0
422,33,99,7.839080667289865,0.1679923172809477
423,33,99,0.0,0.0
424,33,99,7.839080667289865,0.1679923172809477
425,33,99,0.0,0.0
426,33,99,0.0,0.0
427,33,99,5.395939628341785,0.8687951594410959
428,33,99,0.0,0.0
429,33,99,5.104987284135738,1.0205083638289634
430,33,99,0.0,0.0
431,33,99,5.503663623529658,0.5520778895367844
432,33,99,0.0,0.0
433,33,99,0.0,0.0
434,33,99,0.0,0.0
435,33,99,0.0,0.0
436,33,99,0.0,0.0
437,33,99,5.104987284135738,1.0205083638289634
438,33,99,4.880745385994027,0.8277857090943828
439,33,99,0.0,0.0
440,33,99,0.0,0.0
441,33,99,0.0,0.0
442,33,99,0.0,0.0
443,33,99,0.0,0.0
444,33,99,0.0,0.0
445,33,99,5.146867157635351,1.1859748845437603
446,33,99,4.880745385994027,0.8277857090943828
447,33,99,0.0,0.0
448,33,99,0.0,0.0
449,33,99,0.0,0.0
450,33,99,5.676577277021721,0.6092854082443506
451,33,99,5.503663623529658,0.5520778895367844
452,33,99,0.0,0.0
453,33,99,5.996152887480808,0.6080776198562521
454,33,99,0.0,0.0
455,33,99,0.0,0.0
456,36,108,0.0,0.0
457,36,108,0.0,0.0
458,36,108,0.0,0.0
459,36,108,0.0,0.0
460,36,108,0.0,0.0
461,36,108,0.0,0.0
462,36,108,5.121270284319104,0.8378696202005604
